,E_KOORD,N_KOORD,latitude,longitude,user_id,cluster,distance_center
0,2700661,1253793,47.42723884756664,8.7728133359822,139203,4,0.2097639450985892
1,2700654,1253727,47.426646389622626,8.772705709541166,186844,5,0.24437053882945897
2,2700643,1253723,47.42661209970578,8.772559041716425,98191,4,0.17014780408599836
3,2700611,1253941,47.42857743133603,8.772184070617072,5007,6,1.090208231191874
4,2700588,1253778,47.42711511122518,8.771842585795312,3641,4,0.13961097409347928
5,2700508,1253768,47.42703739958321,8.770780203122808,201315,6,1.1765812347301978
6,2700537,1253842,47.42769844310615,8.771181148199064,88869,5,0.08735736816513155
7,2700501,1253872,47.42797372471029,8.770710829352216,96648,5,0.04837126021597802
8,2700504,1253976,47.42890852309505,8.770773974290528,202978,4,0.28148689304732505
9,2700572,1253979,47.42892511797404,8.771675793292157,86300,4,0.29915011260304164
10,2700405,1253662,47.42609987162127,8.76939146858973,175158,1,0.8577050248237686
11,2700475,1253696,47.426394950647015,8.770326711663763,47681,4,0.0
12,2700442,1253738,47.42677768552368,8.76989885155321,160925,4,0.05341137266951778
13,2700455,1253782,47.42717138786773,8.770081012329577,118606,4,0.08829163526866766
14,2700422,1253780,47.4271584361396,8.769643257203263,38623,5,0.0914129352750635
15,2700444,1253781,47.427164073190994,8.769935019012696,50629,1,0.7886796459919372
16,2700474,1253704,47.4264670460918,8.770315258678238,4921,4,0.008061954058885433
17,2700470,1253772,47.42707917060764,8.770277539529165,89683,4,0.07616141422315299
18,2700404,1253754,47.426927366997006,8.769398885652155,101044,4,0.0916749942825815
19,2700453,1253866,47.42792709266875,8.770073390100071,106767,5,0.0
20,2700415,1253867,47.427941882048124,8.769570043476019,29366,4,0.181213997361432
21,2700428,1253835,47.427652127974824,8.76973512682503,67597,6,1.079632281676959
22,2700478,1253990,47.429038391337734,8.770432567005614,16788,4,0.2940040633676626
23,2700434,1254044,47.42953071852937,8.769861608631794,199241,4,0.3503936242450518
24,2700429,1254153,47.43051170149444,8.769819844115693,50708,1,0.5563606899541569
25,2700437,1254270,47.43156264378433,8.769952162121418,146,5,0.40430119786256447
26,2700363,1253022,47.420350839270064,8.76869120378881,192189,5,0.848752618762491
27,2700349,1253008,47.42022707259887,8.768502561095737,179077,5,0.8642469982345009
28,2700369,1253077,47.42084453294247,8.768783052964068,153928,4,0.6279861926162088
29,2700391,1253153,47.42152463768129,8.76909162397615,116669,4,0.549437716835315
30,2700324,1253115,47.421193119660295,8.768195326147259,6902,5,0.7619692635344996
31,2700342,1253170,47.421684985104584,8.768446176082136,21678,5,0.7047685277682656
32,2700315,1253215,47.422093778194814,8.76809851618171,103429,4,0.5068930916470359
33,2700373,1253675,47.4262216577274,8.768970342642232,20994,5,0.20706883739882925
34,2700377,1253692,47.4263739265434,8.769027166576258,198873,4,0.09807700588584949
35,2700341,1253643,47.42593876358782,8.76853911166839,5160,4,0.14409391709743144
36,2700346,1253611,47.42565023004848,8.76859818389377,53520,5,0.27652806376676087
37,2700326,1253626,47.42578817067451,8.768336524772753,107774,5,0.2715195598441097
38,2700389,1253760,47.42698361134245,8.769201458983291,11075,4,0.10719626544680116
39,2700358,1253779,47.42715920143955,8.768794924639975,30196,4,0.14344431083470702
40,2700318,1253905,47.428298396987216,8.768293140896558,141814,6,0.9691460241698294
41,2700346,1254062,47.429706007868774,8.768699450091205,129910,4,0.38805354666633457
42,2700393,1254087,47.42992366405472,8.769327925623132,17467,4,0.39949082186668816
43,2700325,1254180,47.43077036428721,8.76844764358503,40730,1,0.4501976439497682
44,2700394,1254284,47.43169510203216,8.769385437958043,49980,5,0.4221272392810913
45,2700390,1254471,47.433377373050796,8.769374440900442,57611,6,0.56041575093327
46,2700253,1253067,47.42077227487112,8.767243796256196,203850,4,0.6670004825463066
47,2700228,1253242,47.42234983391997,8.766951782768013,191886,4,0.5168200337421988
48,2700228,1253215,47.42210702630706,8.76694572859126,177980,4,0.5406903034102762
49,2700258,1253251,47.42242620274364,8.767351316279395,172106,4,0.4950696560709518
50,2700252,1253673,47.42622210645911,8.767366467562534,5590,4,0.22417242758184122
51,2700201,1254001,47.42917952746676,8.766764184833614,152360,5,0.2858704097385125
52,2700269,1254202,47.43097673797726,8.767710435168317,92987,8,0.5785295230004464
53,2700281,1254438,47.43309722152548,8.767922431566046,182662,8,0.4503884119274061
54,2700254,1254497,47.43363191128202,8.767577834250247,90559,8,0.40415214934421306
55,2700223,1254447,47.43318698923009,8.767155766452696,581,8,0.39399380746957235
56,2700239,1254593,47.434497507915104,8.767400572227986,103971,8,0.37096611371185073
57,2700262,1254551,47.4341163062916,8.767695978214018,19292,8,0.39899248239180346
58,2700252,1254649,47.434999127244545,8.767585433445289,138334,8,0.3840777610897128
59,2700256,1254670,47.43518736765007,8.767643160319679,166046,1,0.45681264077031974
60,2700264,1254627,47.43479945734162,8.767739540087709,547,1,0.43578007499688853
61,2700239,1254623,47.434767293041546,8.767407302839207,199642,5,0.7866368416522562
62,2700291,1254655,47.43504714405344,8.768103672281422,136881,5,0.8054286126401625
63,2700154,1253073,47.42084129700456,8.76593338007903,35971,4,0.700806514431165
64,2700143,1253280,47.42270449571431,8.765834003931786,154916,4,0.5322176801668312
65,2700199,1253999,47.42916184613346,8.766737232001805,135503,5,0.28670164869519305
66,2700181,1254098,47.43005487778567,8.766520886681752,6730,4,0.4980164841743059
