,E_KOORD,N_KOORD,latitude,longitude,user_id,cluster,distance_center
0,2681937,1247120,47.36982250245432,8.523454419818215,8284,32,0.16593942988901422
1,2681904,1247124,47.36986257762568,8.523018296488893,114329,8,0.05635421000359812
2,2681918,1247145,47.37004970020175,8.52320746994517,102415,8,0.04940466757721724
3,2681981,1247135,47.36995193303627,8.524039638464167,92772,8,0.11013193667940625
4,2681957,1247154,47.37012579308273,8.523725401971797,30746,32,0.17244012421539565
5,2681901,1247150,47.37009677999029,8.52298333689719,20016,8,0.0332403891529029
6,2681998,1247135,47.369949818415975,8.524264685384033,164281,32,0.21703507254498072
7,2681954,1247134,47.36994629720481,8.523682027983774,147038,8,0.08588036169616953
8,2681987,1247108,47.36970836374768,8.524114124252852,21751,8,0.12741970535884298
9,2681934,1247200,47.37054235094683,8.52342934101978,195589,8,0.061738868069969095
10,2681983,1247138,47.36997866461285,8.524066663720044,197137,32,0.2018086684722899
11,2681914,1247143,47.370032210423346,8.523154151831298,12460,8,0.0475061988086522
12,2681922,1247100,47.369644498003105,8.52325219123238,41500,8,0.08609018441628878
13,2681952,1247179,47.370351250868985,8.523663786015959,5575,8,0.07416561728828698
14,2681946,1247180,47.37036099028617,8.52358454005624,185783,32,0.1569170569512224
15,2681975,1247189,47.370438325230765,8.523970093894526,110748,32,0.18516517747613154
16,2681985,1247138,47.36997841585056,8.524093139842318,102103,8,0.11288926531216736
17,2681909,1247196,47.37050948435971,8.523097654388106,115711,32,0.11899922817699705
18,2681996,1247132,47.36992308688548,8.524237660043394,133735,8,0.12524678515639834
19,2681960,1247246,47.37095281682004,8.523781952390618,131279,32,0.17691349668830852
20,2681929,1247260,47.371082579039665,8.523374126040927,80433,8,0.09998150049427532
21,2681935,1247246,47.37095592501924,8.5234509947793,185641,8,0.0918280165155726
22,2681921,1247266,47.371137534046504,8.52326931685257,164376,32,0.1480547775252138
23,2681987,1247235,47.3708505310429,8.524137372864594,7033,8,0.1249029169897569
24,2681974,1247257,47.371050003671115,8.523969302029029,131471,8,0.12690058279379127
25,2681996,1247230,47.37080444428461,8.52425560194173,8084,8,0.13060859204780365
26,2681964,1247217,47.37069150959539,8.523829598252652,174329,8,0.09614700401851532
27,2681970,1247212,47.37064579624089,8.523908112561218,180627,8,0.09953483469910077
28,2681950,1247342,47.37181743054492,8.523667135872676,87943,8,0.18277240043734605
