,E_KOORD,N_KOORD,latitude,longitude,user_id,cluster,distance_center
0,2506121,1143224,46.433782355134134,6.21714588550371,95858,2,1.0939596428390628
1,2506149,1143209,46.433651356773034,6.217513180267889,115774,13,0.7097299828697001
2,2506128,1143360,46.43500659081847,6.217209406998587,48099,9,0.23434976158662568
3,2506194,1143373,46.43513275628818,6.218065402917922,111062,9,0.25965694706607395
4,2506161,1143353,46.43494824823483,6.217640137601247,192198,9,0.25640364841148944
5,2506140,1144074,46.44143036297086,6.217220918425853,141042,9,0.5157315975054912
6,2506128,1144084,46.44151862817039,6.217062760225128,170327,9,0.5230166101273628
7,2506135,1145767,46.45665739482427,6.216812832129944,156677,5,0.7944792873434984
8,2506175,1145779,46.45677092966985,6.217330988798695,51267,1,0.0
9,2506101,1145966,46.458442542686804,6.2163299843639725,66152,5,0.7565333569774058
10,2506094,1143278,46.4342642788798,6.216783697088124,37804,9,0.30077284301259855
11,2506075,1143269,46.43418066699479,6.216538343784688,179264,9,0.3059345649578896
12,2506063,1143210,46.43364830898005,6.2163941890630054,90669,9,0.36287355446967307
13,2506071,1143334,46.43476475085944,6.216473134666076,105496,2,0.9836712413816263
14,2506089,1143476,46.43604449480171,6.21667853343854,86630,9,0.11398590074940947
15,2506057,1143586,46.43702940994215,6.216239925656815,88509,2,0.8313957749140911
16,2506055,1143513,46.436372529382936,6.216228702546589,136613,9,0.0648429183011938
17,2506026,1143571,46.436890147984485,6.215839657750717,119925,9,0.0
18,2506015,1143906,46.43990177175996,6.2156286117896045,136298,13,0.0
19,2506005,1143963,46.440413057744934,6.215486943775769,140614,2,0.6869799426060678
20,2506060,1144029,46.441014404866934,6.21618915801266,183230,9,0.45923803360766163
21,2506097,1145836,46.45727269422917,6.216304283485124,49705,1,0.09660331842804862
22,2506003,1146160,46.460173742931005,6.21501512483515,126991,11,0.5385116655071224
23,2506073,1146101,46.45965287990509,6.215938179402312,24164,1,0.3377542789454095
24,2506082,1146151,46.460103867276985,6.216045177393325,95961,1,0.38343187355472885
25,2505985,1143224,46.433763300670336,6.215376634587313,89624,2,0.9984216359115938
26,2505943,1143408,46.43541240281834,6.214792910833248,2885,13,0.5031533384699335
27,2505956,1143433,46.435639089338025,6.214956962941093,178359,2,0.83194742465781
28,2505910,1143497,46.43620828538899,6.214345527239839,94811,9,0.13758692112051496
29,2505944,1143446,46.43575433495489,6.214798209168682,4819,9,0.14948843255680228
30,2505910,1143474,46.43600141138631,6.214350196355593,140701,2,0.7703626458658247
31,2505940,1143936,46.44016108980945,6.2146467228696265,16251,9,0.3749768345836468
32,2505993,1144975,46.449513832397194,6.215125486557643,166757,1,0.8243038922991978
33,2505914,1145960,46.458362351026956,6.213897377216741,23471,5,0.5701976626907697
34,2505952,1146096,46.459590939004144,6.214364330871448,121940,5,0.6394853468982497
35,2505996,1146128,46.459884936483974,6.214930512140889,178476,14,0.6957740698709168
36,2505827,1143174,46.433291403221475,6.213331341130388,153647,2,0.9422563563106525
37,2505889,1143429,46.43559371076019,6.214086129253827,180243,13,0.493336738331389
38,2505874,1143551,46.43668893681986,6.213866208699226,32230,2,0.6943687191047084
39,2505826,1143519,46.43639437218126,6.213248236070048,27026,2,0.6772931030414261
40,2505886,1143682,46.43786890355846,6.213995725783842,54678,2,0.6354621982151174
41,2505839,1145987,46.45859467048089,6.212915755519807,35189,1,0.3951539838391719
42,2505770,1144852,46.44837619691339,6.212248614173258,50361,14,0.8240563514974616
43,2505732,1144818,46.44806504075457,6.211761050303879,54743,4,1.077029665591976
44,2505783,1145077,46.45040179055823,6.212372018638431,63839,1,0.8039948046727482
45,2505712,1145196,46.45146215492348,6.211423861274733,1016,5,0.7769715595005039
46,2505741,1145556,46.45470425917816,6.211727991160637,163962,1,0.48791737977753996
47,2505796,1145584,46.45496383783761,6.212438077772048,147331,1,0.42620359275661973
48,2505739,1145923,46.45800496504856,6.211627267917762,192797,4,0.21930739873758487
49,2505762,1146015,46.45883569475369,6.211907891515245,37434,1,0.4756529126873545
50,2505691,1143849,46.43934358806385,6.2114247590782545,84293,2,0.3912020566998651
51,2505651,1143828,46.439149075611525,6.210908613615049,141527,2,0.36082981001195336
52,2505633,1144863,46.448455864958106,6.210463635386338,107069,11,1.283979626924917
53,2505610,1144860,46.44842564328746,6.210164954404095,162246,13,1.0363600358524643
54,2505653,1145302,46.45240727180432,6.21063447889782,4071,5,0.6556974685022272
55,2505636,1145479,46.45399690768147,6.210377187156332,184184,4,0.4112443720443461
56,2505698,1145405,46.45334003914793,6.211199123652921,47917,5,0.5918230440821137
57,2505654,1145566,46.45478196418546,6.210593718195012,150955,5,0.4398832900997935
58,2505619,1145700,46.455982301499574,6.21011091384376,159122,1,0.5615595180218159
59,2505653,1145765,46.45657173159862,6.210540165927435,70077,5,0.3260841559343997
60,2505607,1145950,46.458229239682396,6.209903784953452,17382,11,0.233998509036384
61,2505619,1146073,46.459337254592185,6.210034897450613,65945,14,0.4540100353362673
62,2505675,1146089,46.45948905040664,6.210760496304053,151336,1,0.588277574042564
63,2505604,1146249,46.46091817615411,6.2098037903612235,113106,5,0.4460524226662163
64,2505666,1146236,46.4608099771247,6.210613412042161,42110,5,0.4744232366003515
65,2505677,1146277,46.461180300367495,6.210748232853742,103212,5,0.5126362762327794
66,2505599,1143874,46.43955550380943,6.210222698831492,116221,2,0.2959763838143703
67,2505526,1144881,46.44860269511483,6.209067605513401,11089,14,0.7522053987812669
68,2505600,1145272,46.45212997449541,6.209950869189879,143527,13,1.4275829819967865
69,2505550,1145471,46.453912838901395,6.209259611649782,30170,14,0.16760216139430859
70,2505524,1145563,46.454736669732725,6.208902481442971,82403,5,0.3647099683198102
71,2505580,1145593,46.455014395956226,6.209625161486839,27925,4,0.28730056626012845
72,2505589,1145528,46.454431020417566,6.209755539578831,112160,11,0.6204882656807442
73,2505507,1145633,46.45536388907075,6.208666958531232,93255,14,0.0
74,2505536,1145617,46.45522406460901,6.2090476383304045,128936,14,0.03311956411040862
75,2505501,1145613,46.455183152982755,6.208592953054617,55118,5,0.3098315895565313
76,2505526,1145841,46.45723742551843,6.208871801902233,122460,4,0.03401316923353089
77,2505525,1145875,46.45754309790912,6.208851851149164,205846,4,0.0
78,2505514,1146121,46.45975419668726,6.208658495643493,194179,5,0.2895881523343808
79,2505583,1146155,46.46006973400577,6.209549627033562,115877,5,0.35878712562793885
80,2505502,1146189,46.46036413146624,6.208488434033144,40451,5,0.34210271610734194
81,2505580,1146245,46.46087881735598,6.209492229288356,83436,5,0.42940434983116976
82,2505552,1146296,46.46133359207787,6.209117387716799,124168,5,0.4601723775689874
83,2505573,1146300,46.46137252922821,6.209389903717016,136785,5,0.47333337562803746
84,2505564,1146376,46.462054843906266,6.209257261506747,127123,1,0.8542059853383207
85,2505541,1146389,46.46216853121913,6.208955242262523,151433,1,0.8797670834827965
86,2505458,1143088,46.43246595051697,6.208548537478154,98123,9,0.7455590142443613
87,2505473,1143758,46.4384943880257,6.20860702822981,87207,13,0.56181687477508
88,2505425,1143853,46.43934209755197,6.207963146438912,123367,9,0.6638408735612624
89,2505484,1145109,46.45064752304301,6.208474552285867,195987,5,0.7856495766133802
90,2505499,1145116,46.45071259943635,6.208668322673499,91103,5,0.7814946808383879
91,2505438,1145399,46.45324944308905,6.207816741947346,20504,5,0.49209272480800853
92,2505408,1145354,46.45284045731728,6.207435516290469,31154,5,0.5322559548537051
93,2505411,1145411,46.4533535676282,6.207462917467261,45001,4,0.47777709179276295
94,2505444,1145854,46.457342790907894,6.207801933456988,4552,5,0.09932347384329691
95,2505453,1145937,46.458090604732206,6.2079021219751205,77813,14,0.3087450000082019
96,2505478,1145910,46.45785127914547,6.208233008123823,37498,5,0.13178945565139882
97,2505418,1146069,46.459272941529456,6.207419636991963,121145,5,0.1983768968014704
98,2505404,1146113,46.45966672400769,6.207228434741756,16801,5,0.23647389172878808
99,2505483,1146196,46.4604244138022,6.208239709622112,159018,1,0.8078969356719689
100,2505427,1146125,46.45977790397089,6.207525337975917,168263,4,0.26851013570958654
