,E_KOORD,N_KOORD,latitude,longitude,user_id,cluster,distance_center
0,2497681,1114623,46.17530159486416,6.113633744891207,707,1,0.37897400230379547
1,2497675,1114632,46.175381631884534,6.113554094053998,69711,1,0.3683665187495539
2,2497653,1114976,46.178472311978574,6.113194025954065,83698,1,0.2533070924259536
3,2497613,1115056,46.179185774111275,6.11265860482775,145866,1,0.2578444314757944
4,2497674,1115238,46.180831995739865,6.113408641889315,161066,0,0.2878072854702539
5,2497666,1115256,46.180992677099304,6.113301117310027,69992,0,0.2741432912999698
6,2497680,1115340,46.18175032082242,6.113464028753965,118105,0,0.27399021191840667
7,2497566,1114652,46.17554495369771,6.1121384709503035,17501,1,0.28405569180052903
8,2497513,1114711,46.17606755412268,6.111439347074759,174627,1,0.20628460978311972
9,2497579,1114964,46.17835313518199,6.112238504418833,170729,1,0.18000736765101327
10,2497561,1114958,46.178296433003126,6.11200675533893,2284,1,0.16112079630507636
11,2497556,1114900,46.17777400637986,6.11195471242293,181526,1,0.1422114271938345
12,2497516,1115134,46.17987257664716,6.111385555684894,129995,0,0.23615619898953452
13,2497529,1115265,46.18105280063763,6.111525196281745,72960,0,0.14563266354385043
14,2497556,1115288,46.18126377472096,6.111869771850396,93171,0,0.1597500777931889
15,2497571,1115203,46.180501544354485,6.112082607301823,138204,0,0.21636959838189343
16,2497518,1115241,46.1808352654127,6.111388018467675,118572,0,0.15147106619891446
17,2497516,1115572,46.18381205760815,6.111289623287406,194692,0,0.2540234730110271
18,2497414,1114667,46.175656740636995,6.1101672022535345,152906,1,0.2249766582488682
19,2497414,1114892,46.177680445281055,6.110117882469252,7882,1,0.0
20,2497444,1114867,46.17746015655426,6.110511793548935,57557,1,0.03904738144925812
21,2497457,1114985,46.17852345621617,6.110654257702799,52032,1,0.10244924602946896
22,2497465,1114929,46.17802099609182,6.110770111100359,70844,1,0.06300167630568992
23,2497451,1115294,46.1813017649295,6.110508853643949,3169,0,0.06652160635442728
24,2497424,1115342,46.18172937817208,6.110148718712029,44954,0,0.01802603189227165
25,2497406,1115343,46.181735631410504,6.1099154226511265,48176,0,0.0
26,2497442,1115524,46.18336907171496,6.1103419033520385,53910,0,0.18452653099201227
27,2497391,1114676,46.17573418638214,6.109867441929789,23342,1,0.21719855005334346
28,2497330,1114782,46.17667828299822,6.109054403878876,48026,1,0.1383911550264422
29,2497346,1114806,46.17689658283883,6.109256299730281,170435,1,0.10962464817570407
30,2497329,1114947,46.17816218040406,6.109005257516394,76750,1,0.10123234324713781
31,2497325,1115028,46.178890104395215,6.108935694292849,108244,1,0.1625166783815232
32,2497330,1115129,46.179799284883835,6.1089782749806005,31856,0,0.227071477080345
33,2497301,1115165,46.18011865740657,6.108594874926103,126253,0,0.2066406208784576
34,2497393,1115150,46.17999776220386,6.109789410177004,156285,0,0.19341746021052794
35,2497361,1115395,46.18219647752211,6.109321324131715,98163,0,0.0687609137675871
36,2497321,1115362,46.18189357189618,6.108810612969504,195577,0,0.08708930225184768
37,2497371,1115443,46.18262972482672,6.109440284090648,24150,0,0.1059373658078406
38,2497236,1114734,46.17623222833875,6.10784787816689,170932,1,0.2379845433326211
39,2497266,1114991,46.17854832309275,6.1081798831440395,7357,1,0.17804148793587812
40,2497296,1115028,46.178885684061335,6.108560201351834,15933,1,0.18003754994113122
41,2497239,1115079,46.1793356984204,6.107810964421854,77045,0,0.3123543538826309
42,2497249,1115377,46.182017507566414,6.107875009444969,178201,0,0.1606239616415396
43,2497256,1115569,46.1837454698316,6.107923489900689,55557,0,0.2712219155237033
44,2497162,1114819,46.1769854472698,6.106871093201791,64122,1,0.2623348669184259
45,2497131,1115023,46.17881553894373,6.106424876303291,13881,2,0.28895075830694217
46,2497148,1115253,46.18088680926259,6.106594439798085,32812,2,0.24317606357364877
47,2497194,1115349,46.1817572776815,6.107168978959327,103746,0,0.21206459577675016
48,2497195,1115463,46.18278277374875,6.107156880305342,187494,0,0.24271297788432913
49,2497006,1114636,46.175315672825576,6.104891544699547,66394,1,0.48161598241715176
50,2497094,1114708,46.17597670425039,6.1060150651487,22834,1,0.3690921937027473
51,2497016,1114899,46.17768268460651,6.104963143651495,98580,2,0.3269681298057986
52,2497077,1114964,46.17827663153734,6.105738660131954,125824,2,0.29621338185797014
53,2497098,1115043,46.178990384037654,6.105993194204662,202300,2,0.2508656557206181
54,2497062,1115072,46.1792457172252,6.1055206853163675,29809,2,0.204686900780177
55,2497050,1115218,46.18055704198594,6.105333187426219,17396,2,0.14134057553834503
56,2497009,1115281,46.181117412068595,6.104788436038593,176477,2,0.12379811043411097
57,2496941,1114668,46.175593548679544,6.104042932266759,121983,2,0.5408914185267604
58,2496978,1114933,46.177982678793335,6.1044636449944285,197613,2,0.28349519062041567
59,2496962,1114929,46.17794425501187,6.1042573608352,91216,2,0.2839602678652716
60,2496987,1114991,46.17850572049639,6.104567407984901,54363,2,0.23056919974078585
61,2496974,1114978,46.17838680758523,6.104401946920426,204537,2,0.2389839135204893
62,2496913,1115001,46.178584343809526,6.103607058571321,192032,2,0.20701731594791803
