,product_id,location,distance_group,distance_group_last_mile,distance_no_group,distance_group_last_mile_cutoff_100,distance_group_last_mile_cutoff_200,distance_group_last_mile_cutoff_300,distance_group_last_mile_cutoff_400,distance_group_last_mile_cutoff_500,distance_group_last_mile_cutoff_600,distance_group_last_mile_cutoff_700,distance_group_last_mile_cutoff_800,distance_group_last_mile_cutoff_900,distance_group_last_mile_cutoff_1000,distance_group_last_mile_cutoff_1100,distance_group_last_mile_cutoff_1200,distance_group_last_mile_cutoff_1300,distance_group_last_mile_cutoff_1400,distance_group_last_mile_cutoff_1500,distance_group_last_mile_cutoff_1600,distance_group_last_mile_cutoff_1700,distance_group_last_mile_cutoff_1800,distance_group_last_mile_cutoff_1900,distance_group_last_mile_cutoff_2000,distance_group_last_mile_cutoff_2100,distance_group_last_mile_cutoff_2200,distance_group_last_mile_cutoff_2300,distance_group_last_mile_cutoff_2400,distance_group_last_mile_cutoff_2500,distance_group_last_mile_cutoff_2600,distance_group_last_mile_cutoff_2700,distance_group_last_mile_cutoff_2800,distance_group_last_mile_cutoff_2900,distance_group_last_mile_cutoff_3000
0,48112,Geneva,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,47621,Geneva,3638.2961467964865,67922.43531535116,12611.99684849116,64475.31424050924,43940.26270056289,20129.609424770366,6838.923230331533,4314.078796539943,3217.0018559774016,2604.5863523496023,1852.6836317377624,1000.5474558057981,1000.5474558057981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,46692,Geneva,3638.2961467964865,70274.6153013368,13337.299205164158,67112.61863910595,44953.18431465683,18521.091413562728,5884.287933182234,4045.7641286214343,2948.687188058893,2333.831430464892,838.7634987788674,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,44014,Geneva,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,43310,Geneva,3638.2961467964865,71012.47862284844,13052.969066746058,66874.64875221014,45231.96204300065,22078.236679886202,9318.141408600157,5430.536086945248,3796.3877783817716,3183.972274753972,1688.9043430679474,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,41774,Geneva,2861.993120577847,30760.41378081089,7581.852599849438,29006.376771690204,21786.165065281573,12139.211040777725,5177.812417958129,3365.738286247796,2819.3942631352384,1579.933378210168,836.7681671359832,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,39468,Geneva,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,37317,Geneva,2861.993120577847,28973.418218686136,7119.382017415906,27519.796095434776,20506.322076341366,13117.039078936126,7507.81195192461,4369.489685819157,3816.4896047754214,2589.2183435536213,1837.3156229417814,1000.5474558057981,1000.5474558057981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,34386,Geneva,3638.2961467964865,72722.8310767771,12782.541591976727,69422.13230431419,48609.84218016175,20309.235553277016,7319.8082687010165,4356.073560525964,3819.00219252503,2582.4761656588503,1839.3109545846655,1000.5474558057981,1000.5474558057981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,31981,Geneva,4400.075842139278,134307.00893338153,19184.68611816106,127290.42896553218,88004.89844727305,39128.384615801086,13954.461189575528,5715.840736861815,4095.0367576542662,3403.288838194625,2651.386117582785,1000.5474558057981,1000.5474558057981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,28745,Geneva,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,25872,Geneva,1054.8293683770914,18137.863246811277,3800.9041103719815,17281.935057651426,12044.251205635566,4444.34882277297,814.9113128885954,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,22178,Geneva,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,21376,Geneva,3638.2961467964865,72092.81309318753,12922.716568201353,68216.77111650254,47820.25688216909,23615.531768429057,10199.572704418344,7612.629732642247,5425.481343035035,4186.515062202654,2691.44713051663,1000.5474558057981,1000.5474558057981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,21288,Geneva,4476.974562326492,144897.57288194136,19483.195323529013,137508.86393656902,96387.15280713644,49981.89655762505,22074.00497771728,13257.872271699456,9408.07282539366,5555.020932775932,1812.6226188039177,1000.5474558057981,1000.5474558057981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,20119,Geneva,2861.993120577847,33571.40392003418,7631.067814533114,32290.832683361285,24031.852117920134,14519.092040170533,9334.127951737759,5848.484536614029,3661.3361470068166,2434.0648857850165,1690.8996747108317,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,19240,Geneva,3638.2961467964865,68687.44239889734,12592.221680066214,64943.65137829341,44376.89201491106,19311.060626587583,7957.0859014524995,4047.423896696707,2959.6196112457883,2347.204107617989,852.1361759319642,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,18557,Geneva,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,16823,Geneva,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,16570,Geneva,4476.974562326492,137291.5041313258,19627.813749744513,130495.49026809899,89308.15335004043,43616.25403876633,17257.017888683222,10295.906590613735,6449.847930714455,3801.456316895233,812.0751629981195,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,16290,Geneva,2861.993120577847,29204.23438427411,7056.767076716359,28286.89486421545,21161.160978038217,12150.88055247257,7897.390623245514,4825.160194099429,4278.816170986871,2427.4343865266906,1675.5316659148507,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,16262,Geneva,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,15976,Geneva,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,15680,Geneva,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,12771,Geneva,4476.974562326492,137369.37216938034,19247.304866327246,130741.21693402993,90534.84610596165,48390.32300682371,19446.90487238096,9774.789708266759,5851.5299387483465,3852.84249707526,838.7634987788674,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,11714,Geneva,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,7538,Geneva,2861.993120577847,31755.553882543052,7570.536267096054,30222.27992570598,21720.874570739634,12389.055019753801,7862.578078760673,4278.307060400142,3194.8916692866496,2582.4761656588503,1839.3109545846655,1000.5474558057981,1000.5474558057981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
