,E_KOORD,N_KOORD,latitude,longitude,user_id,cluster,distance_center,productID_1000,productID_2344,productID_3583,productID_7538,productID_11714,productID_12771,productID_15680,productID_15976,productID_16262,productID_16290,productID_16570,productID_16823,productID_18557,productID_19240,productID_20119,productID_21288,productID_21376,productID_22178,productID_25872,productID_28745,productID_31981,productID_34386,productID_37317,productID_39468,productID_41774,productID_43310,productID_44014,productID_46692,productID_47621,productID_48112,vrp_productID_1000,no_groups_vrp_productID_1000,vrp_productID_2344,no_groups_vrp_productID_2344,vrp_productID_3583,no_groups_vrp_productID_3583,vrp_productID_7538,no_groups_vrp_productID_7538,vrp_productID_11714,no_groups_vrp_productID_11714,vrp_productID_12771,no_groups_vrp_productID_12771,vrp_productID_15680,no_groups_vrp_productID_15680,vrp_productID_15976,no_groups_vrp_productID_15976,vrp_productID_16262,no_groups_vrp_productID_16262,vrp_productID_16290,no_groups_vrp_productID_16290,vrp_productID_16570,no_groups_vrp_productID_16570,vrp_productID_16823,no_groups_vrp_productID_16823,vrp_productID_18557,no_groups_vrp_productID_18557,vrp_productID_19240,no_groups_vrp_productID_19240,vrp_productID_20119,no_groups_vrp_productID_20119,vrp_productID_21288,no_groups_vrp_productID_21288,vrp_productID_21376,no_groups_vrp_productID_21376,vrp_productID_22178,no_groups_vrp_productID_22178,vrp_productID_25872,no_groups_vrp_productID_25872,vrp_productID_28745,no_groups_vrp_productID_28745,vrp_productID_31981,no_groups_vrp_productID_31981,vrp_productID_34386,no_groups_vrp_productID_34386,vrp_productID_37317,no_groups_vrp_productID_37317,vrp_productID_39468,no_groups_vrp_productID_39468,vrp_productID_41774,no_groups_vrp_productID_41774,vrp_productID_43310,no_groups_vrp_productID_43310,vrp_productID_44014,no_groups_vrp_productID_44014,vrp_productID_46692,no_groups_vrp_productID_46692,vrp_productID_47621,no_groups_vrp_productID_47621,vrp_productID_48112,no_groups_vrp_productID_48112
0,2541224,1155506,46.548256942804926,6.672284119188835,123204,0,0.1068845665419717,0,0,1.0,0.0,0,0.0,0,0,0,0.0,1.0,0,0,0.0,0.0,0.0,1.0,0,0,0,0.0,1.0,0.0,0,0.0,1.0,0,1.0,1.0,0,0,0,0,0,0.0,30.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,5.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0,0,0,0,0,0,0.0,0.0,0.0,27.0,0.0,0.0,0,0,0.0,0.0,0.0,4.0,0,0,0.0,3.0,0.0,13.0,0,0
1,2541270,1155523,46.5484138993994,6.672881690639269,44239,0,0.1365609056348991,0,0,1.0,0.0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0.0,1.0,0.0,0,0,0,1.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,29.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0,0,0,0,0,0,0.0,27.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2,2541235,1155637,46.54943627548924,6.672410857019294,64285,0,0.1076116899978068,0,0,1.0,0.0,0,0.0,0,0,0,0.0,0.0,0,0,1.0,0.0,1.0,0.0,0,0,0,1.0,1.0,0.0,0,0.0,0.0,0,1.0,0.0,0,0,0,0,0,0.0,28.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,5.0,0.0,0.0,0.0,3.0,0.0,0.0,0,0,0,0,0,0,0.0,28.0,0.0,28.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,2.0,0.0,0.0,0,0
3,2541204,1156260,46.555037538943445,6.67192731695698,67628,1,0.5958159692549496,0,0,0.0,0.0,0,0.0,0,0,0,0.0,1.0,0,0,0.0,0.0,0.0,0.0,0,0,0,1.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,26.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,29.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
4,2541219,1156377,46.55609129083417,6.67210800456463,41603,1,0.6443437349334211,0,0,0.0,0.0,0,1.0,0,0,0,0.0,0.0,0,0,1.0,0.0,1.0,0.0,0,0,0,1.0,0.0,0.0,0,0.0,1.0,0,1.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,29.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,33.0,0.0,0.0,0.0,29.0,0.0,0.0,0,0,0,0,0,0,0.0,30.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,30.0,0,0,0.0,17.0,0.0,0.0,0,0
5,2541124,1155575,46.54886881821564,6.670971548783709,148552,0,0.021212555887274,0,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0,0,1.0,0.0,0.0,1.0,0,0,0,1.0,1.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,6.0,0,0,0,0,0,0,0.0,24.0,0.0,25.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
6,2541174,1155511,46.54829752506247,6.671631597017402,64855,0,0.0730045993723814,0,0,1.0,0.0,0,1.0,0,0,0,0.0,0.0,0,0,1.0,0.0,0.0,1.0,0,0,0,1.0,0.0,0.0,0,0.0,1.0,0,0.0,0.0,0,0,0,0,0,0.0,32.0,0.0,0.0,0,0,0.0,26.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,5.0,0,0,0,0,0,0,0.0,25.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,6.0,0,0,0.0,0.0,0.0,0.0,0,0
7,2541189,1155511,46.54829884352493,6.671827162669214,150890,0,0.0801536519256069,0,0,1.0,0.0,0,1.0,0,0,0,0.0,0.0,0,0,1.0,0.0,1.0,0.0,0,0,0,1.0,1.0,0.0,0,0.0,1.0,0,0.0,0.0,0,0,0,0,0,0.0,31.0,0.0,0.0,0,0,0.0,27.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,6.0,0.0,0.0,0.0,5.0,0.0,0.0,0,0,0,0,0,0,0.0,26.0,0.0,26.0,0.0,0.0,0,0,0.0,0.0,0.0,5.0,0,0,0.0,0.0,0.0,0.0,0,0
8,2541145,1155578,46.54889765104839,6.671244961066632,147428,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0.0,1.0,0,0,0.0,0.0,1.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0,0,0,0,3.0,0.0,0.0,0.0,0,0,3.0,0.0,0,0,0,0,0,0,0.0,0.0,3.0,4.0,0,0,0,0,3.0,0.0,0.0,0.0,3.0,6.0,3.0,0.0,0,0,0,0,0,0,3.0,0.0,3.0,0.0,0.0,0.0,0,0,0.0,0.0,3.0,3.0,0,0,3.0,0.0,3.0,14.0,0,0
9,2541151,1155899,46.55178562607969,6.67128226275604,156766,0,0.3210460184726655,0,0,1.0,0.0,0,1.0,0,0,0,0.0,1.0,0,0,1.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0,0,0,0,0.0,27.0,0.0,0.0,0,0,0.0,28.0,0,0,0,0,0,0,0.0,0.0,0.0,2.0,0,0,0,0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,2.0,0,0,0.0,0.0,0.0,16.0,0,0
