,product_id,location,distance_group,distance_group_last_mile,distance_no_group
0,48112,Epalinges,0,0,0
0,47621,Epalinges,1698.148176430512,11157.03981766438,4249.0308373598455
0,46692,Epalinges,1698.148176430512,8543.25235489106,4430.914104742117
0,44014,Epalinges,0,0,0
0,43310,Epalinges,1698.148176430512,13278.33842755861,4532.019769743306
0,41774,Epalinges,600.98452729269,2924.538573344007,1422.158851725922
0,39468,Epalinges,0,0,0
0,37317,Epalinges,600.98452729269,3332.7559744326018,1483.2594734876595
0,34386,Epalinges,1698.148176430512,10256.185692438192,4204.773089768765
0,31981,Epalinges,1698.148176430512,9282.276908800342,4501.586226690169
0,28745,Epalinges,0,0,0
0,25872,Epalinges,0,0,0
0,22178,Epalinges,0,0,0
0,21376,Epalinges,1698.148176430512,13374.601191859188,4422.36667611082
0,21288,Epalinges,1698.148176430512,11273.697825414363,4469.580005136504
0,20119,Epalinges,600.98452729269,1177.7697065284608,1191.2515718480945
0,19240,Epalinges,1698.148176430512,15124.433297431999,4852.124494577697
0,18557,Epalinges,0,0,0
0,16823,Epalinges,0,0,0
0,16570,Epalinges,1698.148176430512,9795.060988603202,4445.295488546434
0,16290,Epalinges,600.98452729269,3638.613296387739,1461.263488190903
0,16262,Epalinges,0,0,0
0,15976,Epalinges,0,0,0
0,15680,Epalinges,0,0,0
0,12771,Epalinges,1698.148176430512,11525.644308205445,4877.063222712865
0,11714,Epalinges,0,0,0
0,7538,Epalinges,600.98452729269,2966.30142010453,1464.9094290670678
0,3583,Epalinges,1698.148176430512,12937.800805431641,4915.344117846577
0,2344,Epalinges,0,0,0
0,1000,Epalinges,0,0,0
